battery_formula,target,EN,Ionic radius,Lower cut-off voltage,Upper cut-off voltage,C-rate,Cycle numbers,Li,Ni,Co,Mn,O,F,Na,Mg,Al,Cl,K,Ca,Ti,W,Fe,Zn,Zr,Nb,Mo,Ta,Sb,B
Li0.98Na0.02Ni0.6Co0.05Mn0.35O2,93.3,0.93,0.102,2.7,4.5,0.5,100,0.98,0.6,0.05,0.35,2,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.799Co0.1Mn0.1W0.001O2 ,97.37,2.36,0.06,2.8,4.2,0.1,100,1,0.799,0.1,0.1,2,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
LiNi0.65Co0.15Mn0.20O2,60.28,0,0,2.7,4.4,1,100,1,0.65,0.15,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.645Co0.15Mn0.20W0.005O2,81.38,2.36,0.06,2.7,4.4,1,100,1,0.645,0.15,0.2,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
LiNi0.64Co0.15Mn0.20W0.01O2,95.95,2.36,0.06,2.7,4.4,1,100,1,0.64,0.15,0.2,2,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
LiNi0.63Co0.15Mn0.20W0.02O2,80.5,2.36,0.06,2.7,4.4,1,100,1,0.63,0.15,0.2,2,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
LiNi0.6Co0.05Mn0.35O2?,79.4,0,0,3,4.5,0.5,100,1,0.6,0.05,0.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.91Co0.06Mn0.03O2,41.4,0,0,3,4.5,0.5,80,1,0.91,0.06,0.03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LiNi0.9Co0.0495Mn0.05Zn0.0005O2,72.1,1.65,0.074,3,4.3,0.5,80,1,0.9,0.0495,0.05,2,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0
LiNi0.9Co0.045Mn0.05Zn0.005O2,91.7,1.65,0.074,3,4.3,0.5,80,1,0.9,0.045,0.05,2,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
LiNi0.6Co0.2Mn0.18Ti0.02O2,91.8,1.54,0.0605,3,4.5,0.5,150,1,0.6,0.2,0.18,2,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
LiNi0.6Co0.2Mn0.2O2,82.9,0,0,3,4.5,0.5,150,1,0.6,0.2,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li(Ni0.6Co0.2Mn0.2)0.999Ta0.001O2,79.2,1.5,0.064,3,4.5,1,100,1,0.599,0.1998,0.1998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0
Li(Ni0.6Co0.2Mn0.2)0.9975Ta0.0025O2,83.6,1.5,0.064,3,4.5,1,100,1,0.5985,0.1995,0.1995,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0
Li(Ni0.6Co0.2Mn0.2)0.995Ta0.005O2,77,1.5,0.064,3,4.5,1,100,1,0.597,0.199,0.199,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0
Li(Ni0.83Co0.11Mn0.06)0.99Mo0.01O2,95.2,2.16,0.059,2.7,4.3,1,100,1,0.8217,0.1089,0.0594,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0
(LiNi0.6Co0.2Mn0.2O2)1mol%Sb2,86.3,1.96,0.06,2.5,4.3,0.5,200,1,0.588,0.196,0.196,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
